Log_ID,Server_ID,Server_Cluster,Log_Timestamp,CPU_Utilization (%),Memory_Usage (%),Disk_IO (%),Network_Traffic_In (MB/s),Network_Traffic_Out (MB/s),Uptime (Hours),Downtime (Hours),Config_Version,Last_Patch_Date,Deployment_Token
Station1_LOG00001,SRV001,CL-8,2025-08-02 23:30:00,94.63,81.3,44.1,1.67,21.79,506.74,2.77,v3.1.0,2024-08-12 00:00:00,4E5IZB1EDM
Station1_LOG00002,SRV005,CL-3,2025-08-01 03:12:00,34.98,45.56,58.36,29.42,,157.97,0.23,v1.0.0,2024-06-23 00:00:00,2I3QM6DTEC
Station1_LOG00003,SRV001,CL-8,2025-08-01 01:33:00,37.41,73.65,74.51,2.79,18.88,606.27,5.85,v1.0.0,2024-08-10 00:00:00,NV4F0TE2J4
Station1_LOG00004,SRV091,CL-2,2025-08-02 12:56:00,86.86,60.65,23.75,22.67,21.24,893.06,3.84,v1.1.2,2024-03-19 00:00:00,C57PACO58P
Station1_LOG00005,SRV089,CL-1,2025-08-02 02:50:00,91.59,62.23,50.36,11.64,19.67,198.31,0.22,v3.1.0,2024-04-23 00:00:00,OFU2NCU22K
Station1_LOG00006,SRV073,CL-3,2025-08-01 02:28:00,10.54,33.59,6.86,29.15,13.44,256.34,3.31,v2.0.3,2024-10-25 00:00:00,GIPAXNQEGE
Station1_LOG00007,SRV094,CL-8,2025-08-01 08:01:00,20.89,,60.62,1.49,5.67,526.82,6.69,v3.1.0,2024-11-05 00:00:00,707TLYDSS5
Station1_LOG00008,SRV050,CL-1,2025-08-01 02:40:00,84.23,89.37,36.12,19.17,14.16,974.54,9.05,v1.0.0,2024-12-20 00:00:00,7FIL3DVYJH
Station1_LOG00009,SRV013,CL-2,2025-08-01 23:07:00,56.07,57.99,21.22,29.09,10.51,301.21,2.17,v2.0.3,2024-08-06 00:00:00,6YNII88BYC
Station1_LOG00010,SRV097,CL-3,2025-08-02 00:58:00,12.49,58.19,62.17,24.73,20.72,165.45,9.32,v2.0.3,2024-12-09 00:00:00,NQ06UJLQV6
Station1_LOG00011,SRV063,CL-10,2025-08-01 18:18:00,83.89,56.5,63.52,13.31,1.49,203.94,5.71,v2.0.3,2024-04-12 00:00:00,8PU9JN01N3
Station1_LOG00012,SRV011,CL-7,2025-08-02 05:24:00,65.37,69.4,12.46,23.36,10.03,284.25,0.21,v2.0.3,2024-05-12 00:00:00,AZAL4W7S3G
Station1_LOG00013,SRV071,CL-2,2025-08-02 03:14:00,33.95,42.02,68.23,23.66,20.48,830.93,3.9,v3.1.0,2024-07-10 00:00:00,4G4IQ9ENZ9
Station1_LOG00014,SRV054,CL-9,2025-08-01 18:08:00,29.93,65.16,39.43,27.89,21.67,599.71,5.17,v1.0.0,2024-11-09 00:00:00,XVI673KLLZ
Station1_LOG00015,SRV096,CL-4,2025-08-01 03:48:00,59.13,64.05,59.49,4.72,12.68,608.73,4.32,v3.1.0,2024-04-04 00:00:00,8YATYE737F
Station1_LOG00016,SRV073,CL-3,2025-08-01 08:12:00,35.99,,35.83,28.75,11,981.86,7.35,v2.0.3,2024-06-06 00:00:00,H3X0G6SQJY
Station1_LOG00017,SRV097,CL-3,2025-08-02 22:20:00,69.55,62.19,74.52,13.93,12.4,225.95,4.09,v1.1.2,2024-11-27 00:00:00,YYOM0F6QEP
