Log_ID,Server_ID,Server_Cluster,Log_Timestamp,CPU_Utilization (%),Memory_Usage (%),Disk_IO (%),Network_Traffic_In (MB/s),Network_Traffic_Out (MB/s),Uptime (Hours),Downtime (Hours)
Station2_LOG00001,SRV011,CL-7,2025-08-01 10:53:00,40.91,42.64,54.58,5.72,10.61,454.16,8.71
Station2_LOG00002,SRV011,CL-7,2025-08-02 09:19:00,10.7,,,7.42,7.13,277.75,0.92
Station2_LOG00003,SRV081,CL-4,2025-08-02 07:57:00,59.41,48.17,,3.99,12.57,397.3,9.64
Station2_LOG00004,SRV023,CL-1,2025-08-01 16:51:00,45.58,59.19,44.57,16.5,13.95,828.24,0.91
Station2_LOG00005,SRV034,CL-6,2025-08-02 22:51:00,55.32,20.39,16.51,20.19,8.69,559.61,9
Station2_LOG00006,SRV081,CL-4,2025-08-02 20:19:00,71.59,77.58,29.12,27.8,8.41,460.03,1.63
Station2_LOG00007,SRV012,CL-3,2025-08-02 21:47:00,24.26,49.1,13.08,21.59,23.28,193.73,4.28
Station2_LOG00008,SRV070,CL-1,2025-08-02 16:51:00,44.08,69.52,27.09,21.01,10.11,489.12,4.97
Station2_LOG00009,SRV028,CL-2,2025-08-02 20:10:00,63.14,72.78,15.04,29.91,9.82,344.55,7.99
Station2_LOG00010,SRV017,CL-6,2025-08-02 13:34:00,51.17,31.36,21.4,19.97,11.98,515.39,1.1
Station2_LOG00011,SRV008,CL-1,2025-08-01 05:53:00,80.35,54.95,,19.42,1.76,435.8,1.78
Station2_LOG00012,SRV094,CL-8,2025-08-01 15:43:00,13.07,54.85,,14.52,1.3,826.57,4.9
Station2_LOG00013,SRV041,CL-10,2025-08-01 12:43:00,64.2,22.54,7.45,15.64,8.04,127.07,3.25
Station2_LOG00014,SRV019,CL-2,2025-08-02 04:22:00,21.56,27.99,56.89,8.2,8.99,981.49,6.87
Station2_LOG00015,SRV071,CL-2,2025-08-01 04:35:00,44.84,64.29,56.19,11.76,14.92,151.65,7.24
Station2_LOG00016,SRV023,CL-1,2025-08-01 06:51:00,50.91,47.07,23.9,9.52,16.71,953.55,5.47
Station2_LOG00017,SRV020,CL-9,2025-08-02 17:39:00,72.83,64.87,72.85,10.22,5.34,741.24,2.01
Station2_LOG00018,SRV026,CL-2,2025-08-01 20:33:00,78.07,59.88,48.97,9.87,17.7,516.64,7.91
Station2_LOG00019,SRV035,CL-6,2025-08-01 05:55:00,27.03,89.27,18.81,18.06,,843.59,9.55
Station2_LOG00020,SRV010,CL-4,2025-08-02 17:58:00,41.87,,58.83,7.46,5.8,102.62,8.73
Station2_LOG00021,SRV089,CL-1,2025-08-01 21:14:00,70.16,63.03,46.03,5.57,13.46,260.91,1.84
Station2_LOG00022,SRV084,CL-9,2025-08-02 02:00:00,53.84,64.03,53.44,29.56,14.71,849.68,3.95
Station2_LOG00023,SRV017,CL-6,2025-08-02 01:53:00,94.33,51.19,26.3,19.72,11.29,428.79,5.07
Station2_LOG00024,SRV001,CL-8,2025-08-02 04:35:00,37.38,27.37,13.63,8.32,6.53,581.74,9.18
Station2_LOG00025,SRV028,CL-2,2025-08-01 20:34:00,44.18,34.87,38.7,20.48,0.93,974.42,5.45
Station2_LOG00026,SRV048,CL-9,2025-08-01 09:15:00,52.96,48.93,38.4,24.83,4.43,855.13,6.54
Station2_LOG00027,SRV043,CL-8,2025-08-01 21:04:00,81.63,54,52.37,7.87,14.88,657.68,8.76
Station2_LOG00028,SRV029,CL-2,2025-08-02 16:39:00,57.21,60.56,20.73,8.8,10.71,522.6,1.5
Station2_LOG00029,SRV006,CL-4,2025-08-01 17:27:00,83.93,54.36,75.54,3,17.99,962.54,0.33
Station2_LOG00030,SRV097,CL-3,2025-08-02 07:08:00,28.69,74.91,7.69,8.76,19.57,943.05,8.47
Station2_LOG00031,SRV031,CL-7,2025-08-01 23:39:00,46.94,48.4,21.24,15.65,8.83,676.02,2.96
Station2_LOG00032,SRV043,CL-8,2025-08-02 22:39:00,33.92,77.18,,22.41,23.9,522.52,5.12
Station2_LOG00033,SRV034,CL-6,2025-08-01 06:01:00,44.05,80.75,54.97,17.67,14.07,267.22,7.31
Station2_LOG00034,SRV001,CL-8,2025-08-02 19:44:00,32.45,,59.49,7.39,11.97,791.36,3.04
Station2_LOG00035,SRV019,CL-2,2025-08-01 17:50:00,76.27,83.1,63.7,27.43,,955.32,8.55
Station2_LOG00036,SRV040,CL-6,2025-08-02 06:53:00,19.39,62.48,,25.24,19.82,923.24,6.69
